CMDLINE C:\Users\15360\anaconda3\envs\nanoGPT\python.exe Code_Analysis/gpt2sample.py
MEM 468.910156 1745134525.2587
MEM 469.093750 1745134525.3673
MEM 469.121094 1745134525.4756
MEM 469.171875 1745134525.5848
MEM 469.230469 1745134525.6946
MEM 469.347656 1745134525.8042
MEM 469.750000 1745134525.9109
MEM 469.820312 1745134526.0194
MEM 469.941406 1745134526.1285
MEM 470.058594 1745134526.2389
MEM 470.093750 1745134526.3486
MEM 470.246094 1745134526.4565
MEM 470.304688 1745134526.5651
MEM 470.492188 1745134526.6737
MEM 470.609375 1745134526.7830
MEM 470.628906 1745134526.8921
MEM 471.171875 1745134527.0008
MEM 471.253906 1745134527.1123
MEM 471.257812 1745134527.2199
MEM 471.265625 1745134527.3286
MEM 471.742188 1745134527.4382
MEM 471.945312 1745134527.5452
MEM 471.945312 1745134527.6545
MEM 471.945312 1745134527.7647
MEM 471.945312 1745134527.8756
MEM 471.984375 1745134527.9847
MEM 472.003906 1745134528.0959
MEM 472.742188 1745134528.2042
MEM 474.421875 1745134528.3139
MEM 476.042969 1745134528.4238
MEM 477.371094 1745134528.5330
MEM 478.699219 1745134528.6404
MEM 481.085938 1745134528.7493
MEM 484.406250 1745134528.8572
MEM 485.921875 1745134528.9674
MEM 487.257812 1745134529.0769
MEM 488.417969 1745134529.1861
MEM 489.902344 1745134529.2958
MEM 491.425781 1745134529.4047
MEM 492.351562 1745134529.5140
MEM 493.394531 1745134529.6221
MEM 495.710938 1745134529.7310
MEM 496.398438 1745134529.8408
MEM 500.007812 1745134529.9500
MEM 501.257812 1745134530.0609
MEM 501.269531 1745134530.1709
MEM 503.203125 1745134530.2789
MEM 504.824219 1745134530.3858
MEM 505.906250 1745134530.4914
MEM 507.062500 1745134530.5997
MEM 507.914062 1745134530.7091
MEM 508.023438 1745134530.8176
MEM 508.160156 1745134530.9259
MEM 508.289062 1745134531.0342
MEM 508.476562 1745134531.1452
MEM 509.257812 1745134531.2549
MEM 509.730469 1745134531.3642
MEM 512.753906 1745134531.4748
MEM 514.453125 1745134531.5846
MEM 515.488281 1745134531.6942
MEM 516.308594 1745134531.8021
MEM 516.726562 1745134531.9108
MEM 518.625000 1745134532.0190
MEM 519.160156 1745134532.1257
MEM 519.550781 1745134532.2341
MEM 520.578125 1745134532.3430
MEM 521.652344 1745134532.4494
MEM 521.824219 1745134532.5577
MEM 521.898438 1745134532.6651
MEM 521.898438 1745134532.7757
MEM 521.906250 1745134532.8858
MEM 523.992188 1745134532.9947
MEM 526.074219 1745134533.1033
MEM 526.074219 1745134533.2121
MEM 526.078125 1745134533.3231
MEM 526.746094 1745134533.4348
MEM 527.609375 1745134533.5453
MEM 527.828125 1745134533.6543
MEM 528.691406 1745134533.7652
MEM 528.832031 1745134533.8747
MEM 530.121094 1745134533.9850
MEM 530.730469 1745134534.0944
MEM 531.730469 1745134534.2045
MEM 532.355469 1745134534.3135
MEM 533.019531 1745134534.4229
MEM 533.664062 1745134534.5337
MEM 534.816406 1745134534.6421
MEM 535.234375 1745134534.7513
MEM 535.261719 1745134534.8593
MEM 600.042969 1745134534.9684
MEM 682.742188 1745134535.0762
MEM 785.898438 1745134535.1967
MEM 897.117188 1745134535.3113
MEM 992.980469 1745134535.4206
MEM 1104.515625 1745134535.5294
MEM 1158.289062 1745134535.6379
MEM 1158.304688 1745134535.7477
MEM 1158.304688 1745134535.8583
MEM 1158.304688 1745134535.9662
MEM 1158.304688 1745134536.0754
MEM 1158.304688 1745134536.1855
MEM 1158.304688 1745134536.2937
MEM 1160.230469 1745134536.4012
MEM 1160.308594 1745134536.5117
MEM 1160.847656 1745134536.6217
MEM 1033.875000 1745134536.7278
MEM 1034.503906 1745134536.8350
MEM 1034.976562 1745134536.9424
MEM 1034.976562 1745134537.0486
MEM 1188.949219 1745134537.1560
MEM 1213.363281 1745134537.2618
MEM 1229.308594 1745134537.3718
MEM 1250.207031 1745134537.4811
MEM 1271.609375 1745134537.5893
MEM 1297.671875 1745134537.6990
MEM 1320.335938 1745134537.8075
MEM 1337.656250 1745134537.9173
MEM 1359.132812 1745134538.0236
MEM 1384.585938 1745134538.1332
MEM 1408.046875 1745134538.2412
MEM 1431.179688 1745134538.3502
MEM 1455.500000 1745134538.4587
MEM 1472.339844 1745134538.5669
MEM 1497.320312 1745134538.6751
MEM 1031.617188 1745134538.7836
MEM 875.371094 1745134538.8916
MEM 875.308594 1745134539.0018
MEM 875.128906 1745134539.1114
MEM 889.167969 1745134539.2204
MEM 908.066406 1745134539.3311
MEM 910.125000 1745134539.4406
MEM 1016.695312 1745134539.5505
MEM 1071.597656 1745134539.6570
MEM 1153.570312 1745134539.7654
MEM 1258.472656 1745134539.8756
MEM 1356.046875 1745134539.9856
MEM 1364.652344 1745134540.0965
MEM 1364.699219 1745134540.2072
MEM 1364.738281 1745134540.3175
MEM 1364.742188 1745134540.4280
MEM 1364.773438 1745134540.5360
MEM 1364.773438 1745134540.6451
MEM 1364.804688 1745134540.7560
MEM 1364.816406 1745134540.8663
MEM 1364.816406 1745134540.9751
MEM 1364.847656 1745134541.0830
MEM 1364.847656 1745134541.1921
MEM 1364.847656 1745134541.3031
MEM 1364.878906 1745134541.4142
MEM 1364.878906 1745134541.5247
MEM 1364.957031 1745134541.6335
MEM 1364.957031 1745134541.7434
MEM 1364.957031 1745134541.8546
MEM 1365.097656 1745134541.9638
MEM 1365.097656 1745134542.0723
MEM 1365.097656 1745134542.1825
MEM 1365.097656 1745134542.2878
MEM 1365.097656 1745134542.3966
MEM 1365.097656 1745134542.5067
MEM 1365.097656 1745134542.6136
MEM 1365.097656 1745134542.7242
MEM 1365.097656 1745134542.8330
MEM 1365.097656 1745134542.9448
MEM 1365.097656 1745134543.0520
MEM 1365.097656 1745134543.1587
MEM 1365.097656 1745134543.2680
MEM 1365.097656 1745134543.3777
MEM 1365.097656 1745134543.4871
MEM 1365.097656 1745134543.5975
MEM 1365.097656 1745134543.7060
MEM 1365.097656 1745134543.8167
MEM 1365.097656 1745134543.9232
